1,N.y. Siok Prawn Keropok (pre-fried) 500g,13.70,18.90,0,0
2,KUS Prawn Keropok (ready-to-eat) 150g,2.40,4.50,0,0
3,KUS Prawn Keropok (ready-to-eat) 300g,3.50,8.50,0,0
4,Fishball Crackers 200g,2.20,5.00,0,0
5,Matahari Peanut (Garlic) 250g,2.20,5.00,0,0
6,Matahari Peanut (Original) 250g,2.20,5.00,0,0
7,Kacang Kapri Tari Bali Garlic Peanuts 300g,3.70,7.00,0,0
8,Emping Belinjo Chili 150g,2.30,5.00,0,0
